Bundesland;Geschlecht;Einkommensklasse;Bevölkerung in Hauptwohnsitzhaushalten;Erwerbstätige aus Hauptwohnsitzhaushalten;Nichterwerbspersonen aus Hauptwohnsitzhaushalten
Sachsen;weiblich;2000 bis unter 2500 EUR;286;202;83
Sachsen;weiblich;2500 bis unter 3000 EUR;131;108;23
Sachsen;weiblich;3000 bis unter 3500 EUR;66;59;6
Sachsen;weiblich;3500 EUR und mehr;69;67;0
Sachsen;weiblich;Ohne Angabe;0;0;0
Sachsen;weiblich;Insgesamt;2022;924;1063
Sachsen;Insgesamt;Kein Einkommen;629;0;617
Sachsen;Insgesamt;unter 500 EUR;140;26;108
Sachsen;Insgesamt;500 bis unter 1000 EUR;454;131;283
Sachsen;Insgesamt;1000 bis unter 1250 EUR;372;114;249
Sachsen;Insgesamt;1250 bis unter 1500 EUR;362;152;205
Sachsen;Insgesamt;1500 bis unter 1750 EUR;403;231;169
Sachsen;Insgesamt;1750 bis unter 2000 EUR;382;254;126
Sachsen;Insgesamt;2000 bis unter 2500 EUR;589;441;147
Sachsen;Insgesamt;2500 bis unter 3000 EUR;288;247;41
Sachsen;Insgesamt;3000 bis unter 3500 EUR;157;145;12
Sachsen;Insgesamt;3500 EUR und mehr;217;209;7
Sachsen;Insgesamt;Ohne Angabe;0;0;0
Sachsen;Insgesamt;Insgesamt;3992;1953;1963
Sachsen-Anhalt;männlich;Kein Einkommen;138;0;132
Sachsen-Anhalt;männlich;unter 500 EUR;56;0;48
Sachsen-Anhalt;männlich;500 bis unter 1000 EUR;104;30;62
Sachsen-Anhalt;männlich;1000 bis unter 1250 EUR;94;23;67
Sachsen-Anhalt;männlich;1250 bis unter 1500 EUR;82;27;53
Sachsen-Anhalt;männlich;1500 bis unter 1750 EUR;105;59;45
Sachsen-Anhalt;männlich;1750 bis unter 2000 EUR;93;69;23
Sachsen-Anhalt;männlich;2000 bis unter 2500 EUR;166;132;33
Sachsen-Anhalt;männlich;2500 bis unter 3000 EUR;88;77;11
Sachsen-Anhalt;männlich;3000 bis unter 3500 EUR;49;46;0
Sachsen-Anhalt;männlich;3500 EUR und mehr;62;57;0
Sachsen-Anhalt;männlich;Ohne Angabe;0;0;0
Sachsen-Anhalt;männlich;Insgesamt;1036;528;482
Sachsen-Anhalt;weiblich;Kein Einkommen;141;0;134
Sachsen-Anhalt;weiblich;unter 500 EUR;63;9;53
Sachsen-Anhalt;weiblich;500 bis unter 1000 EUR;144;37;99
Sachsen-Anhalt;weiblich;1000 bis unter 1250 EUR;139;43;93
Sachsen-Anhalt;weiblich;1250 bis unter 1500 EUR;105;51;53
Sachsen-Anhalt;weiblich;1500 bis unter 1750 EUR;112;63;49
Sachsen-Anhalt;weiblich;1750 bis unter 2000 EUR;94;59;35
Sachsen-Anhalt;weiblich;2000 bis unter 2500 EUR;139;95;44
Sachsen-Anhalt;weiblich;2500 bis unter 3000 EUR;64;51;13
Sachsen-Anhalt;weiblich;3000 bis unter 3500 EUR;31;28;0
Sachsen-Anhalt;weiblich;3500 EUR und mehr;33;30;0
Sachsen-Anhalt;weiblich;Ohne Angabe;0;0;0
Sachsen-Anhalt;weiblich;Insgesamt;1066;470;579
Sachsen-Anhalt;Insgesamt;Kein Einkommen;279;7;266
Sachsen-Anhalt;Insgesamt;unter 500 EUR;119;15;101
Sachsen-Anhalt;Insgesamt;500 bis unter 1000 EUR;248;67;161
Sachsen-Anhalt;Insgesamt;1000 bis unter 1250 EUR;233;66;160
Sachsen-Anhalt;Insgesamt;1250 bis unter 1500 EUR;187;78;106
Sachsen-Anhalt;Insgesamt;1500 bis unter 1750 EUR;217;121;94
Sachsen-Anhalt;Insgesamt;1750 bis unter 2000 EUR;187;128;58
Sachsen-Anhalt;Insgesamt;2000 bis unter 2500 EUR;305;226;78
Sachsen-Anhalt;Insgesamt;2500 bis unter 3000 EUR;152;128;23
Sachsen-Anhalt;Insgesamt;3000 bis unter 3500 EUR;80;73;7
Sachsen-Anhalt;Insgesamt;3500 EUR und mehr;95;87;7
Sachsen-Anhalt;Insgesamt;Ohne Angabe;0;0;0
Sachsen-Anhalt;Insgesamt;Insgesamt;2103;998;1062
Schleswig-Holstein;männlich;Kein Einkommen;238;0;229
Schleswig-Holstein;männlich;unter 500 EUR;72;21;47
Schleswig-Holstein;männlich;500 bis unter 1000 EUR;124;54;61
Schleswig-Holstein;männlich;1000 bis unter 1250 EUR;70;28;37
Schleswig-Holstein;männlich;1250 bis unter 1500 EUR;71;32;37
Schleswig-Holstein;männlich;1500 bis unter 1750 EUR;81;45;35
Schleswig-Holstein;männlich;1750 bis unter 2000 EUR;108;72;35
Schleswig-Holstein;männlich;2000 bis unter 2500 EUR;211;158;52
Schleswig-Holstein;männlich;2500 bis unter 3000 EUR;139;111;28
Schleswig-Holstein;männlich;3000 bis unter 3500 EUR;100;80;20
Schleswig-Holstein;männlich;3500 EUR und mehr;213;181;31
Schleswig-Holstein;männlich;Ohne Angabe;0;0;0
Schleswig-Holstein;männlich;Insgesamt;1428;787;611
Schleswig-Holstein;weiblich;Kein Einkommen;272;0;261
Schleswig-Holstein;weiblich;unter 500 EUR;123;34;86
Schleswig-Holstein;weiblich;500 bis unter 1000 EUR;216;83;126
Schleswig-Holstein;weiblich;1000 bis unter 1250 EUR;138;68;67
Schleswig-Holstein;weiblich;1250 bis unter 1500 EUR;130;72;56
Schleswig-Holstein;weiblich;1500 bis unter 1750 EUR;108;66;41
Schleswig-Holstein;weiblich;1750 bis unter 2000 EUR;105;71;34
Schleswig-Holstein;weiblich;2000 bis unter 2500 EUR;169;129;40
Schleswig-Holstein;weiblich;2500 bis unter 3000 EUR;89;67;21
Schleswig-Holstein;weiblich;3000 bis unter 3500 EUR;56;44;11
Schleswig-Holstein;weiblich;3500 EUR und mehr;73;61;12
Schleswig-Holstein;weiblich;Ohne Angabe;0;0;0
Schleswig-Holstein;weiblich;Insgesamt;1479;702;754
Schleswig-Holstein;Insgesamt;Kein Einkommen;510;11;490
Schleswig-Holstein;Insgesamt;unter 500 EUR;195;55;133
Schleswig-Holstein;Insgesamt;500 bis unter 1000 EUR;340;137;186
Schleswig-Holstein;Insgesamt;1000 bis unter 1250 EUR;207;97;104
Schleswig-Holstein;Insgesamt;1250 bis unter 1500 EUR;201;104;93
Schleswig-Holstein;Insgesamt;1500 bis unter 1750 EUR;190;111;76
Schleswig-Holstein;Insgesamt;1750 bis unter 2000 EUR;214;143;68
Schleswig-Holstein;Insgesamt;2000 bis unter 2500 EUR;380;287;91
Schleswig-Holstein;Insgesamt;2500 bis unter 3000 EUR;228;178;49
Schleswig-Holstein;Insgesamt;3000 bis unter 3500 EUR;156;124;31
Schleswig-Holstein;Insgesamt;3500 EUR und mehr;286;242;43
Schleswig-Holstein;Insgesamt;Ohne Angabe;0;0;0
Schleswig-Holstein;Insgesamt;Insgesamt;2906;1489;1366
Thüringen;männlich;Kein Einkommen;159;0;156
Thüringen;männlich;unter 500 EUR;32;6;24
Thüringen;männlich;500 bis unter 1000 EUR;106;36;60
Thüringen;männlich;1000 bis unter 1250 EUR;89;23;64
Thüringen;männlich;1250 bis unter 1500 EUR;86;31;54
Thüringen;männlich;1500 bis unter 1750 EUR;97;55;41
Thüringen;männlich;1750 bis unter 2000 EUR;99;74;25
Thüringen;männlich;2000 bis unter 2500 EUR;169;136;32
Thüringen;männlich;2500 bis unter 3000 EUR;78;70;8
Thüringen;männlich;3000 bis unter 3500 EUR;43;40;0
Thüringen;männlich;3500 EUR und mehr;71;66;0
Thüringen;männlich;Ohne Angabe;0;0;0
Thüringen;männlich;Insgesamt;1029;538;471
Thüringen;weiblich;Kein Einkommen;161;0;157
Thüringen;weiblich;unter 500 EUR;42;11;29
Thüringen;weiblich;500 bis unter 1000 EUR;144;40;97
Thüringen;weiblich;1000 bis unter 1250 EUR;125;39;83
Thüringen;weiblich;1250 bis unter 1500 EUR;110;50;59
Thüringen;weiblich;1500 bis unter 1750 EUR;108;63;44
Thüringen;weiblich;1750 bis unter 2000 EUR;98;57;40
Thüringen;weiblich;2000 bis unter 2500 EUR;142;100;41
Thüringen;weiblich;2500 bis unter 3000 EUR;57;48;10
Thüringen;weiblich;3000 bis unter 3500 EUR;31;26;0
Thüringen;weiblich;3500 EUR und mehr;33;31;0
Thüringen;weiblich;Ohne Angabe;0;0;0
Thüringen;weiblich;Insgesamt;1050;467;567
Thüringen;Insgesamt;Kein Einkommen;320;0;313
Thüringen;Insgesamt;unter 500 EUR;74;17;53
Thüringen;Insgesamt;500 bis unter 1000 EUR;250;76;157
Thüringen;Insgesamt;1000 bis unter 1250 EUR;214;63;147
Thüringen;Insgesamt;1250 bis unter 1500 EUR;196;80;113
Thüringen;Insgesamt;1500 bis unter 1750 EUR;204;118;85
Thüringen;Insgesamt;1750 bis unter 2000 EUR;197;131;64
Thüringen;Insgesamt;2000 bis unter 2500 EUR;310;236;73
Thüringen;Insgesamt;2500 bis unter 3000 EUR;136;118;18
Thüringen;Insgesamt;3000 bis unter 3500 EUR;74;66;9
Thüringen;Insgesamt;3500 EUR und mehr;104;98;6
Thüringen;Insgesamt;Ohne Angabe;0;0;0
Thüringen;Insgesamt;Insgesamt;2079;1005;1038
